Timestamp, Temperature (Celsius), Power Input (Watts), Current Input (Amperes), Voltage (Volts)
1696266951, 33.3683, 3233.54, 12.7501, 221.818
1696270551, 22.895, 1602.47, 12.365, 210.862
1696274151, 33.7756, 3492.19, 5.15515, 219.384
1696277751, 36.2469, 4254.68, 14.6023, 215.853
1696281351, 36.5551, 3679.86, 7.73866, 215.044
1696284951, 39.9659, 2205.08, 8.19533, 236.518
1696288551, 39.7978, 4282.62, 16.0443, 216.352
1696292151, 38.2564, 1227.08, 10.9849, 238.213
1696295751, 25.6443, 2743.36, 12.4836, 208.261
1696299351, 35.649, 4832.48, 17.6921, 244.034
1696302951, 29.7619, 2396.13, 18.9688, 231.784
1696306551, 36.2661, 3458.6, 12.33, 206.32
1696310151, 27.3543, 2404.17, 13.3171, 201.465
1696313751, 30.6931, 3042.89, 18.5603, 227.705
1696317351, 28.1546, 4237.87, 19.7017, 244.371
1696320951, 26.8958, 2955.04, 13.0102, 226.112
1696324551, 22.2974, 2670.22, 17.6428, 248.867
1696328151, 37.2348, 4841.82, 12.2004, 214.843
1696331751, 36.7406, 3262.86, 16.0767, 243.857
1696335351, 23.1592, 3154.51, 9.76139, 241.314
1696338951, 27.1014, 2595.16, 6.46381, 230.985
1696342551, 27.7379, 4060.74, 17.1127, 217.021
1696346151, 33.4505, 4087.71, 17.031, 221.536
1696349751, 21.3408, 1000.94, 16.4738, 244.848
1696353351, 28.5415, 4185.68, 10.5193, 223.109
1696356951, 21.1283, 3215.49, 11.1562, 225.532
1696360551, 26.6947, 1939.11, 5.74767, 239.587
1696364151, 20.9775, 4490.68, 18.3408, 220.284
1696367751, 21.7682, 4392, 6.78911, 227.164
1696371351, 28.1531, 4388.6, 16.3186, 239.492
1696374951, 33.0716, 1626.89, 7.42301, 223.698
1696378551, 36.0633, 2222.55, 7.8998, 243.665
1696382151, 26.2496, 1071.46, 5.0134, 200.141
1696385751, 23.3007, 1553.03, 10.2244, 208.853
1696389351, 23.7706, 4274.37, 8.4606, 228.036
1696392951, 31.5985, 3636.77, 16.846, 224.547
1696396551, 29.268, 2152.72, 17.5436, 201.675
1696400151, 33.3115, 1924.34, 6.73785, 233.301
1696403751, 30.4077, 4220.25, 8.43911, 208.162
1696407351, 37.2535, 4333, 18.9145, 209.963
1696410951, 39.5578, 1812.49, 16.5751, 229.114
1696414551, 33.4652, 1092.58, 12.1245, 215.031
1696418151, 29.012, 4060.67, 19.8678, 207.781
1696421751, 20.4761, 4921.43, 19.308, 218.542
1696425351, 20.2543, 4637.29, 9.03962, 208.22
1696428951, 32.0448, 4199.86, 11.1411, 217.905
1696432551, 34.7755, 2817.76, 17.9094, 241.791
1696436151, 27.7008, 2960.33, 14.4662, 237.695
1696439751, 34.6442, 2299.77, 14.2545, 238.279
1696443351, 28.8458, 2041.17, 15.7532, 214.786
1696446951, 33.7941, 3276.85, 5.7677, 237.727
1696450551, 36.6789, 3068.16, 19.3808, 228.972
1696454151, 29.0864, 2363.88, 18.3894, 213.398
1696457751, 22.6517, 4127.59, 5.81209, 246.297
1696461351, 30.5048, 4081.36, 15.0799, 212.725
1696464951, 20.4469, 4485.61, 17.9055, 216.426
1696468551, 26.6461, 3758.54, 14.6792, 245.452
1696472151, 33.3566, 3255.32, 5.7434, 208.925
1696475751, 32.5914, 1403.58, 8.05084, 231.501
1696479351, 27.6505, 3141.07, 14.2457, 208.004
1696482951, 20.5886, 2401.23, 8.33782, 219.256
1696486551, 38.3206, 1659.92, 15.6737, 218.831
1696490151, 35.871, 1018.04, 16.7527, 216.677
1696493751, 28.5935, 4738.37, 11.7779, 210.107
1696497351, 25.9807, 3675.9, 14.5742, 237.541
1696500951, 23.0453, 3635.72, 5.37132, 230.143
1696504551, 32.0119, 1541.13, 7.48673, 200.221
1696508151, 34.2437, 1533.52, 18.7623, 216.791
1696511751, 23.4364, 3982.6, 7.07176, 224.427
1696515351, 39.2371, 4284.14, 7.34165, 222.714
1696518951, 20.7836, 3323.2, 10.7759, 208.073
1696522551, 39.356, 1348.94, 6.3158, 216.551
1696526151, 22.3414, 4894.38, 12.3931, 233.348
1696529751, 23.9505, 4998.23, 6.25868, 223.407
1696533351, 22.1295, 4091.72, 10.4332, 229.266
1696536951, 35.9361, 3349.76, 17.1043, 218.639
1696540551, 30.5562, 2683.59, 13.6098, 219.638
1696544151, 34.6553, 1033.17, 16.1476, 204.506
1696547751, 28.02, 3433.07, 17.9638, 214.415
1696551351, 29.9744, 4953.39, 19.606, 227.415
1696554951, 28.8962, 3590.38, 7.17262, 220.519
1696558551, 21.1512, 2391.41, 5.25797, 239.007
1696562151, 20.3844, 4144.26, 11.937, 244.366
1696565751, 37.141, 2665.47, 18.4218, 204.134
1696569351, 24.1328, 2420.83, 5.9046, 226.047
1696572951, 38.7296, 3621.58, 11.4169, 211.07
1696576551, 21.2267, 3882.92, 12.9398, 216.795
1696580151, 35.912, 1140.27, 14.0194, 245.765
1696583751, 39.9593, 2469.38, 10.6319, 239.698
1696587351, 39.8009, 4227.52, 19.1595, 236.218
1696590951, 25.4883, 1999.34, 19.9596, 217.83
1696594551, 27.5019, 3024.01, 18.8908, 226.541
1696598151, 23.3519, 3360.47, 8.24156, 231.89
1696601751, 35.4676, 4657.17, 12.6423, 241.598
1696605351, 20.7242, 1596.56, 19.8879, 236.379
1696608951, 23.0619, 4008.22, 6.42574, 236.378
1696612551, 33.8836, 1090.48, 11.2083, 202.867
1696616151, 39.013, 3324.58, 14.5383, 217.685
1696619751, 25.1031, 4109.38, 17.1281, 217.386
1696623351, 37.8264, 2377.78, 14.5904, 230.276
1696626951, 37.6431, 3825.12, 8.05691, 222.621
1696630551, 26.4432, 4723.62, 7.50846, 224.91
1696634151, 36.0021, 4003.16, 19.5491, 217.097
1696637751, 21.4918, 2048.92, 17.542, 225.356
1696641351, 32.7163, 4653.73, 9.81701, 218.579
1696644951, 37.0154, 2779.33, 19.5124, 227.043
1696648551, 32.1182, 3803.15, 16.4525, 243.642
1696652151, 31.665, 1015.76, 8.82066, 243.424
1696655751, 22.1035, 2074.55, 11.8333, 239.605
1696659351, 32.3192, 1837.26, 11.0371, 216.781
1696662951, 24.9401, 1171.99, 17.0578, 245.642
1696666551, 23.2339, 2817.66, 19.1917, 249.661
1696670151, 37.3701, 1113.57, 18.0485, 215.208
1696673751, 38.2149, 2223.39, 19.7351, 208.699
1696677351, 25.9714, 3043.86, 16.1302, 231.474
1696680951, 34.9616, 4367.12, 13.411, 207.068
1696684551, 24.4622, 3981.5, 15.0124, 201.089
1696688151, 29.4307, 3371.65, 10.7275, 231.178
1696691751, 23.0529, 3967.96, 19.8347, 239.323
1696695351, 29.746, 3757.85, 15.0566, 224.523
1696698951, 39.366, 3746.63, 11.4076, 236.699
1696702551, 36.105, 2679.72, 11.9322, 230.986
1696706151, 23.1378, 2205.48, 11.1207, 246.746
1696709751, 27.4183, 3933.45, 9.74935, 212.031
1696713351, 23.019, 2986.27, 11.7772, 242.05
1696716951, 27.5411, 1129.57, 18.2306, 214.074
1696720551, 32.0834, 2738.53, 16.2057, 241.974
1696724151, 38.617, 3234.96, 7.01713, 245.46
1696727751, 34.0106, 2983.22, 7.71608, 221.083
1696731351, 20.8719, 2825.06, 16.2437, 220.604
1696734951, 32.9625, 2387.04, 10.8623, 221.961
1696738551, 36.8224, 3871.36, 9.47221, 223.232
1696742151, 32.3336, 1059.41, 17.2826, 237.467
1696745751, 22.4668, 2588.01, 11.4126, 231.226
1696749351, 34.9899, 1071.36, 16.5477, 223.7
1696752951, 33.1921, 4859.13, 9.33678, 227.441
1696756551, 27.5801, 1586.6, 17.8709, 239.883
1696760151, 32.8432, 4317.41, 8.89063, 221.663
1696763751, 23.2954, 2883.26, 6.16712, 221.69
1696767351, 21.065, 2988.97, 12.1981, 221.586
1696770951, 26.4818, 4834.03, 5.46454, 248.541
1696774551, 26.8627, 2964.46, 16.4229, 203.852
1696778151, 23.6948, 1715.23, 17.9879, 236.914
1696781751, 38.0418, 1102.35, 10.4596, 244.544
1696785351, 27.6107, 4975.55, 9.47786, 215.404
1696788951, 36.2891, 1996.11, 15.0302, 207.333
1696792551, 32.8945, 3652.76, 17.2431, 238.444
1696796151, 34.1647, 1354.27, 13.4228, 220.348
1696799751, 32.2255, 1053.53, 17.0002, 239.664
1696803351, 33.4554, 1606.12, 9.7064, 211.742
1696806951, 39.5579, 2974.19, 18.7322, 227.405
1696810551, 22.4685, 3263.23, 14.0251, 212.243
1696814151, 21.4673, 4908.5, 13.1945, 233.48
1696817751, 20.2915, 1518.87, 9.90624, 217
1696821351, 39.7553, 3669.14, 19.1039, 242.675
1696824951, 38.5568, 3184.8, 15.718, 249.076
1696828551, 33.1446, 3630.46, 15.1796, 243.275
1696832151, 37.976, 3829.74, 16.8788, 233.685
1696835751, 21.3729, 3801.86, 6.80039, 243.856
1696839351, 38.1964, 4626.06, 11.7485, 213.442
1696842951, 20.8028, 3447.27, 7.90723, 246.734
1696846551, 30.9623, 3541.73, 10.8658, 225.351
1696850151, 35.8289, 1036.2, 6.36581, 211.946
1696853751, 27.5901, 4809.55, 12.1231, 204.273
1696857351, 34.6195, 4545.05, 19.8635, 217.605
1696860951, 38.7022, 1724.93, 16.7677, 240.66
1696864551, 32.7717, 3762.88, 5.40869, 214.96
1696868151, 37.4622, 3415.56, 16.2492, 225.379
1696871751, 22.4844, 1381.37, 16.0236, 214.574
1696875351, 30.3348, 3694.18, 12.3503, 247.318
1696878951, 26.8254, 4894.87, 10.2485, 224.39
1696882551, 26.2431, 4937.26, 16.7465, 224.392
1696886151, 26.1792, 2869.05, 19.3351, 217.696
1696889751, 35.2394, 3463.89, 15.4125, 221.93
1696893351, 23.5617, 1149.7, 15.807, 218.835
1696896951, 26.4685, 1858.96, 10.8902, 203.568
1696900551, 20.7554, 4896.6, 12.5921, 222.742
1696904151, 34.7785, 3039.57, 8.22015, 200.521
1696907751, 29.993, 1570.91, 10.1836, 238.491
1696911351, 22.4326, 3167.65, 14.9116, 209.611
1696914951, 23.8035, 1949, 8.41364, 202.676
1696918551, 27.7372, 3405.27, 5.99234, 238.185
1696922151, 31.6637, 1584.7, 12.3834, 227.857
1696925751, 30.9986, 3106.59, 11.868, 225.702
1696929351, 24.3877, 3064.48, 14.3885, 219.053
1696932951, 39.2573, 4456.37, 19.4141, 227.577
1696936551, 39.4378, 2532.18, 7.39075, 217.07
1696940151, 25.5331, 1184.26, 17.9231, 224.878
1696943751, 25.3354, 3312.62, 15.1962, 234.537
1696947351, 28.5872, 1351.15, 16.0043, 214.797
1696950951, 34.5068, 1028.83, 13.5902, 217.124
1696954551, 27.9399, 1938.06, 19.1849, 231.679
1696958151, 38.1679, 2724.84, 10.5045, 238.227
1696961751, 20.7528, 2503.62, 9.66616, 240.699
1696965351, 36.4433, 1732.86, 6.08635, 239.268
1696968951, 24.7674, 1221.1, 18.405, 213.896
1696972551, 32.234, 2621.41, 5.45244, 209.076
1696976151, 39.3995, 1016.97, 6.70828, 204.71
1696979751, 20.2656, 3261.86, 12.5894, 213.809
1696983351, 24.5396, 2008.47, 14.8645, 218.33
1696986951, 25.1558, 1727.3, 18.0861, 206.824
1696990551, 31.5973, 2063.26, 8.33046, 219.848
1696994151, 33.2871, 1398.49, 14.1008, 207.396
1696997751, 25.0109, 3084.01, 7.46901, 246.052
1697001351, 21.5945, 1117.7, 11.9061, 231.14
1697004951, 39.7516, 1615.52, 15.5847, 226.566
1697008551, 31.6134, 4986.83, 8.99323, 201.853
1697012151, 36.4764, 3811.95, 19.3842, 220.708
1697015751, 27.5543, 2480.13, 11.9411, 211.11
1697019351, 25.6231, 2277.67, 17.3857, 221.438
1697022951, 36.7178, 4894.33, 10.0421, 214.227
1697026551, 31.8372, 2929.7, 17.7492, 219.203
1697030151, 27.3847, 2583.07, 17.0257, 217.279
1697033751, 31.9612, 4745.67, 19.2655, 200.351
1697037351, 22.4911, 2696.05, 17.0636, 240.031
1697040951, 28.6559, 3649.65, 8.56804, 238.839
1697044551, 28.4852, 2807.66, 8.23147, 208.438
1697048151, 36.4974, 3310.77, 10.628, 208.078
1697051751, 36.2399, 3627.02, 18.9361, 236.408
1697055351, 22.0391, 4259.2, 17.0174, 234.459
1697058951, 29.4179, 1176.63, 15.8764, 215.547
1697062551, 24.0006, 4121.07, 16.4019, 249.882
1697066151, 26.2301, 3552.5, 11.7395, 216.749
1697069751, 20.0896, 2512.6, 9.15296, 221.451
1697073351, 31.5597, 1740.97, 8.16721, 209.508
1697076951, 25.8228, 2132.46, 18.1885, 246.842
1697080551, 36.0559, 4113.02, 15.4562, 210.139
1697084151, 20.623, 1442.39, 5.94204, 242.49
1697087751, 26.3757, 4709.59, 7.64284, 213.447
1697091351, 32.4955, 2119.38, 7.41278, 223.642
1697094951, 28.7816, 3990.82, 15.4155, 201.603
1697098551, 31.6161, 2146.34, 18.4209, 224.407
1697102151, 39.1808, 3163.84, 8.93697, 215.754
1697105751, 39.0427, 4528.25, 9.59552, 225.621
1697109351, 38.6867, 2181.67, 9.05785, 249.428
1697112951, 38.274, 1503.13, 19.4696, 233.855
1697116551, 22.9652, 1578.74, 8.65216, 226.472
1697120151, 39.4309, 4818.21, 14.3207, 230.322
1697123751, 22.4923, 3216.98, 15.3835, 234.645
1697127351, 26.5797, 3092.56, 14.4244, 205.971
1697130951, 32.1515, 2358.77, 14.3475, 240.683
1697134551, 39.477, 4136.14, 15.3821, 229.677
1697138151, 36.5127, 1262.02, 12.8023, 237.837
1697141751, 21.7332, 3928.33, 11.9136, 201.053
1697145351, 27.9855, 4975.82, 17.5142, 234.138
1697148951, 31.1104, 1639.93, 18.4777, 210.585
1697152551, 24.4621, 1511.89, 15.2202, 203.337
1697156151, 38.7416, 2070.46, 8.83824, 214.796
1697159751, 20.7918, 1020.3, 14.4718, 223.092
1697163351, 29.7827, 2070.44, 8.70845, 240.513
1697166951, 38.0667, 4108.04, 18.1963, 226.876
1697170551, 35.3593, 2962.44, 14.014, 225.669
1697174151, 24.8473, 2220.93, 7.39432, 205.426
1697177751, 26.6734, 1686.65, 18.3313, 238.045
1697181351, 36.9868, 4858.81, 17.6967, 224.717
1697184951, 20.2465, 4144.87, 16.165, 231.386
1697188551, 23.8551, 3325.26, 11.5956, 221.03
1697192151, 34.2984, 3442.07, 14.44, 243.025
1697195751, 22.9526, 3465.5, 12.842, 246.482
1697199351, 20.8725, 1088.3, 13.0444, 235.152
1697202951, 29.7082, 3280.39, 9.75045, 209.696
1697206551, 30.7745, 3045.86, 14.0628, 221.648
1697210151, 34.8974, 1279.78, 8.976, 248.034
1697213751, 27.9393, 4993.31, 18.279, 220.479
1697217351, 27.0551, 1409.88, 16.1926, 224.149
1697220951, 34.2865, 2964.81, 8.96965, 210.478
1697224551, 20.7201, 2620.06, 15.1503, 245.119
1697228151, 21.3362, 3426.64, 14.4466, 206.423
1697231751, 34.1196, 2101.97, 11.8977, 226.61
1697235351, 20.1431, 4852.56, 12.6583, 208.296
1697238951, 31.1098, 4704.48, 18.9703, 211.104
1697242551, 35.1152, 2854.98, 9.46315, 233.512
1697246151, 30.7945, 2968.69, 11.0972, 221.947
1697249751, 32.5872, 1444.05, 18.4274, 249.155
1697253351, 27.6932, 4444.25, 6.13136, 220.235
1697256951, 20.511, 2350.98, 13.6503, 203.73
1697260551, 21.349, 1891.52, 6.28703, 227.941
1697264151, 39.6944, 3587.86, 9.9529, 208.661
1697267751, 36.7047, 3826.35, 9.26123, 247.692
1697271351, 37.0406, 2684.9, 8.16058, 240.141
1697274951, 33.1106, 1904.71, 17.3209, 221.557
1697278551, 28.0758, 4358.81, 7.32509, 233.357
1697282151, 24.1752, 3991.94, 8.78292, 217.77
1697285751, 38.5667, 1392.43, 13.9604, 208.838
1697289351, 39.0429, 4484.36, 9.42922, 228.925
1697292951, 35.2259, 4878.97, 5.07411, 242.489
1697296551, 29.0548, 3169.65, 9.42307, 235.26
1697300151, 36.3019, 1379.89, 14.7619, 209.241
1697303751, 25.0035, 4082.35, 10.3916, 239.986
1697307351, 37.249, 2010.41, 9.28946, 239.74
1697310951, 23.642, 2325.37, 15.8623, 243.871
1697314551, 25.4441, 2706.07, 8.38942, 207.952
1697318151, 29.9474, 4699.24, 7.01547, 213.386
1697321751, 26.1872, 1543.86, 10.812, 204.918
1697325351, 26.5182, 1276.1, 17.3377, 228.31
1697328951, 39.947, 3275.53, 11.0278, 235.93
1697332551, 31.7367, 1124.79, 9.44033, 230.594
1697336151, 35.3622, 3216.86, 6.28483, 226.705
1697339751, 27.9762, 3638.89, 8.00562, 219.348
1697343351, 26.3998, 2331.03, 16.3263, 208.888
1697346951, 38.8518, 3936.13, 7.45131, 220.229
1697350551, 22.939, 4930.91, 11.7636, 243.681
1697354151, 26.0979, 4863.87, 18.4979, 234.115
1697357751, 25.1197, 2268.95, 9.51895, 206.159
1697361351, 22.9111, 3803.1, 13.4495, 239.153
1697364951, 30.572, 3970.15, 11.7491, 202.868
1697368551, 20.5236, 2434.65, 5.61069, 228.252
1697372151, 29.1425, 4953.65, 5.64073, 235.081
1697375751, 22.781, 4121.82, 11.6471, 208.893
1697379351, 28.1797, 2785.18, 7.78643, 225.186
1697382951, 33.5971, 3904.99, 5.22312, 209.791
1697386551, 22.7708, 1333.52, 14.2343, 208.013
1697390151, 32.0501, 2469.98, 14.7044, 235.844
1697393751, 30.8268, 4929.76, 5.78362, 235.748
1697397351, 38.2772, 2799.81, 7.1057, 205.04
1697400951, 30.5391, 2781.96, 10.4972, 206.563
1697404551, 33.4327, 1736.3, 9.32796, 226.686
1697408151, 34.5788, 1442.93, 5.79781, 226.939
1697411751, 26.8923, 3164.2, 6.4904, 224.942
1697415351, 35.9682, 3227.72, 13.0533, 232.161
1697418951, 20.3314, 1365.08, 6.30644, 228.737
1697422551, 22.9761, 4182.15, 18.5032, 239.378
1697426151, 20.6134, 2077.82, 8.49336, 241.799
1697429751, 39.1024, 1622.85, 14.5163, 221.758
1697433351, 26.7183, 2541.89, 6.30729, 211.511
1697436951, 31.5994, 3289.7, 7.82616, 237.207
1697440551, 24.0733, 3100.63, 13.4576, 248.779
1697444151, 21.3923, 1625.75, 18.1981, 200.728
1697447751, 28.3878, 3991.86, 11.0588, 226.881
1697451351, 23.3578, 4208.96, 6.97794, 246.649
1697454951, 28.1041, 2430.59, 11.9003, 230.87
1697458551, 37.2151, 3690.37, 6.74439, 224.356
1697462151, 35.3547, 3056.86, 8.05566, 221.961
1697465751, 30.5241, 3890.01, 5.24147, 233.747
1697469351, 25.6399, 1950.71, 14.3744, 249.055
1697472951, 39.0765, 4445.67, 10.5187, 231.462
1697476551, 27.3556, 4287.64, 15.1962, 211.81
1697480151, 21.2952, 3787.15, 11.638, 216.105
1697483751, 20.7127, 4282.82, 16.3373, 246.995
1697487351, 32.4483, 2556.59, 8.13602, 231.995
1697490951, 38.6106, 3785.28, 10.0071, 236.961
1697494551, 29.5006, 3870.79, 19.803, 218.073
1697498151, 38.0304, 1195.54, 14.0679, 238.927
1697501751, 36.5272, 3016.38, 15.9748, 231.885
1697505351, 34.4, 2812.89, 15.0082, 207.862
1697508951, 38.6089, 2257.81, 13.2442, 244.026
1697512551, 36.5663, 4091.89, 19.4969, 209.788
1697516151, 22.8809, 1842.56, 8.89817, 245.062
1697519751, 29.267, 4157.23, 18.5283, 221.069
1697523351, 34.239, 4280.12, 8.68291, 202.82
1697526951, 35.9109, 4244.58, 11.3883, 242.415
1697530551, 33.3195, 4224.17, 19.7472, 239.35
1697534151, 20.8205, 4624.51, 11.9525, 247.026
1697537751, 20.554, 3457.45, 18.7779, 234.527
1697541351, 33.3705, 2762.22, 10.2873, 204.903
1697544951, 23.3215, 2383.18, 15.9924, 212.578
1697548551, 38.654, 1060.69, 10.6724, 233.15
1697552151, 22.586, 4453.5, 6.37059, 224.043
1697555751, 38.0316, 4448.26, 15.774, 235.931
1697559351, 37.8061, 2366.06, 6.10596, 243.949
1697562951, 24.5833, 4940.12, 16.17, 204.222
1697566551, 33.9807, 1479.81, 12.4259, 206.835
1697570151, 37.1493, 2177.31, 7.87542, 232.995
1697573751, 21.2872, 2123.54, 17.9084, 203.806
1697577351, 26.2889, 1979.82, 10.4465, 229.916
1697580951, 34.7906, 2015.06, 15.9772, 235.214
1697584551, 27.2668, 4879.35, 11.9126, 249.13
1697588151, 37.4108, 2533.5, 6.93195, 215.14
1697591751, 37.9498, 1997.72, 12.7261, 249.333
1697595351, 34.7203, 2970.07, 17.5027, 239.42
1697598951, 26.3303, 3402.17, 8.87493, 210.417
1697602551, 37.2331, 4110.99, 7.57344, 201.487
1697606151, 20.9707, 3215.52, 10.3379, 215.796
1697609751, 23.3078, 1239.18, 14.552, 206.593
1697613351, 27.1199, 3864.53, 14.3432, 245.773
1697616951, 39.0002, 2290.78, 19.832, 239.368
1697620551, 33.8965, 3056.33, 15.2447, 248.481
1697624151, 29.5227, 3118.15, 17.4208, 215.362
1697627751, 27.039, 2263.9, 8.12121, 219.764
1697631351, 22.0177, 4312.83, 7.12315, 226.701
1697634951, 20.7029, 2257.37, 11.0599, 201.069
1697638551, 28.5729, 4083.51, 17.3422, 230.424
1697642151, 39.0962, 3960.14, 19.4542, 213.284
1697645751, 25.8815, 4294.8, 10.7964, 241.886
1697649351, 38.6213, 4878.03, 16.6277, 212.892
1697652951, 39.6735, 2810.06, 9.2385, 231.344
1697656551, 30.3893, 3398.86, 7.07558, 207.319
1697660151, 24.3868, 2191.99, 16.6751, 240.607
1697663751, 23.6539, 4470.78, 12.7646, 245.837
1697667351, 39.5067, 4191.08, 12.3186, 235.261
1697670951, 25.2055, 3457.96, 5.23049, 208.212
1697674551, 29.9631, 2576.12, 15.8513, 209.904
1697678151, 26.7912, 1021.96, 8.51047, 203.575
1697681751, 27.654, 3689.87, 16.9501, 205.354
1697685351, 31.8697, 3449.87, 13.091, 229.62
1697688951, 30.9104, 4059.39, 8.17061, 216.215
1697692551, 39.6787, 2227.69, 19.0104, 212.434
1697696151, 29.1124, 1615.8, 9.53805, 238.266
1697699751, 23.9922, 2707.77, 12.5652, 237.247
1697703351, 27.7076, 3242.14, 9.6706, 242.537
1697706951, 32.6221, 1565.94, 6.01021, 226.002
1697710551, 33.3248, 3477.98, 10.256, 203.087
1697714151, 26.278, 3397.05, 10.6557, 227.858
1697717751, 25.9048, 3997.93, 15.3173, 226.683
1697721351, 28.4927, 1994.86, 7.86489, 216.068
1697724951, 21.6742, 1827.31, 18.7469, 230.619
1697728551, 39.9287, 1303.89, 14.4436, 221.103
1697732151, 31.4947, 4337.67, 16.7715, 249.962
1697735751, 26.1883, 3539.47, 15.6456, 204.99
1697739351, 27.9411, 1922.67, 19.0609, 235.271
1697742951, 35.4728, 3908.41, 6.21367, 202.352
1697746551, 22.2223, 3023.28, 6.04458, 226.703
1697750151, 23.7869, 2817.95, 11.8015, 240.102
1697753751, 27.9712, 1975.42, 17.2562, 213.949
1697757351, 20.4965, 3267.59, 16.802, 233.661
1697760951, 23.9961, 1327.02, 7.00987, 249.004
1697764551, 36.7606, 4276.15, 14.4397, 247.525
1697768151, 34.5644, 1451.6, 19.4233, 245.667
1697771751, 36.5538, 2052.86, 7.93108, 207.21
1697775351, 27.4251, 4762.65, 19.844, 207.052
1697778951, 28.4425, 2420.97, 7.09032, 212.254
1697782551, 29.3231, 3096.03, 13.0899, 244.783
1697786151, 35.9739, 1784.51, 13.4938, 207.659
1697789751, 35.7832, 3196.66, 19.9998, 203.315
1697793351, 29.5187, 3132.31, 18.6255, 211.984
1697796951, 23.5781, 2551.97, 8.98359, 248.168
1697800551, 23.8239, 1461.15, 18.9389, 247.082
1697804151, 24.7168, 1663.5, 15.2738, 240.751
1697807751, 24.8884, 2100.24, 19.017, 232.385
1697811351, 36.1549, 2268.71, 18.153, 248.667
1697814951, 29.6793, 2771.83, 10.7782, 249.026
1697818551, 26.8128, 1025.47, 16.7617, 224.199
1697822151, 39.5571, 3740.48, 11.3991, 245.877
1697825751, 39.7834, 4716.09, 11.9422, 237.856
1697829351, 35.5654, 1042.41, 14.7869, 203.643
1697832951, 39.4853, 1856.78, 6.82535, 202.889
1697836551, 33.755, 2914.84, 6.641, 207.366
1697840151, 32.3927, 3685.89, 17.6378, 248.882
1697843751, 27.619, 2774.02, 15.7219, 223.765
1697847351, 21.2997, 1559.54, 13.2848, 207.718
1697850951, 39.8061, 1405.57, 19.5147, 208.029
1697854551, 33.0562, 3717.35, 10.5491, 222.412
1697858151, 37.8862, 4293.78, 7.96226, 244.425
1697861751, 31.9158, 3544.12, 13.136, 237.762
1697865351, 36.6671, 1249.13, 13.9577, 242.154
1697868951, 22.3926, 3154.14, 16.0896, 245.002
