Timestamp,Temperature (Celsius),Appliance Usage (hours),Voltage (Volts),Current (Amps),Power Consumption (Watts)
1696285421,29.3781,7.03727,51.3749,10.6345,799.727
1696289021,23.3774,9.04985,54.4383,16.8261,969.985
1696292621,23.8065,10.5523,47.3562,8.59926,1112.23
1696296221,36.4009,3.312,50.3403,7.45625,406.2
1696299821,31.146,11.6382,42.0936,12.5409,1240.82
1696303421,31.6046,9.65479,50.9909,18.978,1032.48
1696307021,32.787,11.4563,47.4996,13.1324,1218.63
1696310621,32.5385,8.15564,49.122,11.1194,911.564
1696314221,36.7994,10.9207,45.956,19.7786,1150.07
1696317821,29.2822,1.07004,43.9198,14.3746,188.004
1696321421,28.7769,10.9334,47.9531,17.9127,1151.34
1696325021,23.2496,11.2501,40.5493,18.5721,1178.01
1696328621,21.6884,4.17684,41.0102,14.4436,509.684
1696332221,28.037,11.4054,56.8609,9.52287,1231.54
1696335821,30.5051,3.79009,43.957,15.549,462.009
1696339421,36.407,1.29472,42.1986,8.60323,192.472
1696343021,32.101,11.4266,58.8214,11.0829,1193.66
1696346621,25.3396,11.1489,42.8053,11.3721,1200.89
1696350221,39.6784,9.19855,54.16,17.8501,985.855
1696353821,26.4938,7.0779,45.0545,16.7138,760.79
1696357421,22.8259,10.2008,41.2201,7.02103,1109.08
1696361021,23.483,5.5361,44.2116,18.0841,652.61
1696364621,30.3165,1.15191,40.285,14.1917,186.191
1696368221,28.0594,10.9456,55.0444,12.9087,1154.56
1696371821,38.3639,2.16561,41.4777,14.0648,299.561
1696375421,38.6307,7.95475,53.9244,9.62523,864.475
1696379021,36.5234,9.72699,44.6486,12.677,1038.7
1696382621,26.4776,6.04835,52.5736,13.9235,686.835
1696386221,26.0497,3.76473,59.2608,13.5538,429.473
1696389821,33.8905,7.88237,43.7989,19.0224,871.237
1696393421,37.7737,5.06799,59.9036,9.31855,564.799
1696397021,26.8181,0.597594,41.9501,19.9742,146.759
1696400621,37.3925,2.74161,48.7545,8.22712,325.161
1696404221,20.2027,6.07914,57.8924,7.62963,698.914
1696407821,28.6551,1.56788,55.3813,9.95492,207.788
1696411421,25.6828,2.34145,52.5614,9.62563,289.145
1696415021,37.3204,10.0668,49.3271,12.871,1090.68
1696418621,21.3495,4.26736,57.0959,15.2514,496.736
1696422221,22.3418,5.72277,54.4182,15.1221,644.277
1696425821,26.9021,6.53724,43.6854,11.8767,721.724
1696429421,29.4138,6.13761,58.1017,14.2167,689.761
1696433021,30.5608,11.911,52.0945,9.45622,1283.1
1696436621,37.0951,1.92952,47.026,14.6,278.952
1696440221,38.0704,9.15069,54.8149,8.04501,1005.07
1696443821,39.5682,7.45749,53.8224,15.0649,805.749
1696447421,37.4878,3.03792,51.5207,8.93847,363.792
1696451021,38.2065,11.787,52.2941,18.8502,1263.7
1696454621,29.7402,10.3102,53.3555,7.56178,1084.02
1696458221,37.3299,9.27627,51.384,11.0952,997.627
1696461821,22.6497,4.13837,42.1711,9.26102,503.837
1696465421,20.426,7.57473,54.8863,18.0659,848.473
1696469021,21.1796,10.0839,41.587,11.2499,1075.39
1696472621,30.4589,5.22238,56.4,15.3327,586.238
1696476221,33.8195,1.64571,48.1796,12.8273,232.571
1696479821,21.6874,0.981831,50.0241,13.0523,150.183
1696483421,38.5192,11.8102,54.76,11.1995,1244.02
1696487021,22.2325,8.26803,59.1815,17.7469,876.803
1696490621,27.1101,5.15108,46.0012,16.4254,570.108
1696494221,31.6234,10.5069,41.3147,8.65401,1107.69
1696497821,31.1013,4.33098,52.1928,13.8196,504.098
1696501421,28.458,5.65735,57.5127,7.93948,621.735
1696505021,39.6786,1.99708,42.096,11.1876,269.708
1696508621,39.7399,1.33908,45.8058,9.95215,188.908
1696512221,25.1902,9.46765,53.256,14.1651,1000.77
1696515821,38.9561,8.95506,47.5826,13.403,982.506
1696519421,33.8281,1.25021,50.1852,17.3137,193.021
1696523021,22.9268,11.4203,50.643,15.9461,1199.03
1696526621,31.2953,2.45229,40.1178,12.1374,331.229
1696530221,26.0627,0.470703,52.4613,8.30805,132.07
1696533821,36.1904,1.47548,54.9467,13.3895,232.548
1696537421,36.1002,0.129826,55.7073,11.9414,77.9826
1696541021,22.011,1.21195,59.1144,11.6423,209.195
1696544621,26.2338,1.1048,47.485,9.29554,201.48
1696548221,33.6993,1.50095,59.0344,16.6626,233.095
1696551821,39.142,8.04725,46.5969,7.36183,897.725
1696555421,24.154,5.86849,42.6325,15.3097,638.849
1696559021,28.34,0.183874,51.9376,18.2361,115.387
1696562621,24.9203,11.6283,40.2936,18.1016,1241.83
1696566221,23.4001,9.32873,52.3429,16.2028,1030.87
1696569821,22.2367,9.21734,43.3784,7.85736,1011.73
1696573421,34.5243,0.995795,46.3881,11.4328,179.58
1696577021,30.6926,9.87801,56.0479,15.593,1060.8
1696580621,29.5899,4.91595,52.2221,13.845,564.595
1696584221,37.2587,2.38743,42.8962,18.7078,290.743
1696587821,35.5521,4.46639,45.074,12.2314,497.639
1696591421,33.7421,6.93306,41.3233,18.1175,791.306
1696595021,20.0934,4.81488,46.0457,14.4536,546.488
1696598621,31.7401,8.49105,46.227,9.93231,908.105
1696602221,30.7443,3.58251,42.6942,17.5045,455.251
1696605821,35.3749,8.66026,57.9046,17.2454,964.026
1696609421,36.5288,8.41534,52.3045,16.6694,912.534
1696613021,37.4004,4.75169,44.5698,18.1365,533.169
1696616621,36.1289,10.2771,44.991,9.9827,1126.71
1696620221,33.2876,0.776761,41.0761,19.8028,140.676
1696623821,30.1,5.16037,48.536,13.8208,586.037
1696627421,20.5778,0.0283705,57.8307,10.3644,101.837
1696631021,34.3828,8.45042,42.5019,8.90515,923.042
1696634621,27.7472,2.49423,40.9418,8.04144,328.423
1696638221,21.9033,0.694601,58.294,11.3733,131.46
1696641821,24.4798,11.5523,58.9233,12.6262,1248.23
1696645421,32.2354,4.08227,56.8419,13.9449,500.227
1696649021,29.7401,4.2184,45.1833,12.1699,520.84
1696652621,23.6936,7.98625,59.096,13.8327,865.625
1696656221,35.1334,1.26667,51.7112,10.1343,200.667
1696659821,37.3695,3.49079,58.9056,15.8921,435.079
1696663421,20.9518,2.32587,40.1434,18.5729,327.587
1696667021,34.8351,5.0334,55.7231,14.8202,578.34
1696670621,32.7232,2.9539,44.4465,8.85159,388.39
1696674221,39.1727,5.32374,48.3584,7.05554,623.374
1696677821,30.4945,4.93909,57.102,15.5791,582.909
1696681421,27.849,10.8261,53.2414,17.5438,1166.61
1696685021,24.4367,7.7442,50.6027,17.4351,856.42
1696688621,38.7572,2.12583,53.7901,8.85595,288.583
1696692221,21.1429,7.61649,40.6214,17.1105,856.649
1696695821,23.8963,4.98633,54.1313,15.3788,580.633
1696699421,21.6565,7.69428,58.9581,14.1758,854.428
1696703021,38.5878,2.53505,42.9035,10.5746,306.505
1696706621,30.1371,1.73702,45.8449,15.0598,263.702
1696710221,21.7862,11.1632,53.8908,11.7779,1200.32
1696713821,20.1155,8.32669,44.8109,9.02695,886.669
1696717421,34.8759,1.14957,42.1284,18.7296,203.957
1696721021,24.3725,0.78026,41.6022,12.7424,158.026
1696724621,39.4116,11.3911,59.4879,9.23325,1238.11
1696728221,36.987,10.4502,44.2128,18.315,1104.02
1696731821,21.0701,4.93088,55.0127,7.0488,580.088
1696735421,22.6722,10.5466,46.2227,12.2612,1120.66
1696739021,32.0594,8.57157,45.0417,7.50148,944.157
1696742621,34.3922,3.21625,43.0702,10.2199,411.625
1696746221,22.7461,4.55876,58.7817,18.5098,543.876
1696749821,22.6598,0.597228,52.9112,17.1355,115.723
1696753421,21.0211,10.3532,49.1092,18.8189,1109.32
1696757021,36.1866,6.60091,43.0152,15.6343,732.091
1696760621,23.3704,0.684447,48.4408,14.404,165.445
1696764221,21.9163,4.87442,51.5714,14.0275,560.442
1696767821,34.9863,6.30157,47.9391,10.3187,724.157
1696771421,32.4812,0.853406,55.905,7.47609,152.341
1696775021,33.4816,2.44159,47.7883,7.91369,322.159
1696778621,28.9736,1.73947,43.9534,7.92203,271.947
1696782221,22.0998,8.70105,49.0866,15.3764,924.105
1696785821,33.3837,5.28928,48.826,16.0655,612.928
1696789421,24.3966,4.18036,56.7144,12.1549,507.036
1696793021,37.6531,9.31755,58.9892,9.59468,996.755
1696796621,26.9613,7.0099,59.7491,12.0922,772.99
1696800221,39.5296,9.20656,51.489,18.6443,979.656
1696803821,33.4466,8.06605,54.1704,15.1554,876.605
1696807421,27.2881,3.51279,45.204,10.7123,435.279
1696811021,21.4803,11.2828,54.2039,18.6392,1188.28
1696814621,20.0539,2.72584,47.8713,18.6487,364.584
1696818221,28.4523,6.93154,46.1721,18.7503,758.154
1696821821,22.467,4.30443,47.0711,14.4175,508.443
1696825421,26.5372,3.79792,54.7276,16.6896,442.792
1696829021,30.9865,3.83556,44.0034,8.81112,470.556
1696832621,20.9131,6.42935,58.2226,15.8457,714.935
1696836221,38.0207,5.3587,42.1876,13.7295,614.87
1696839821,24.0759,1.34345,50.3592,9.63991,219.345
1696843421,32.252,0.0585951,53.7529,12.7008,87.8595
1696847021,32.9243,1.68916,41.5155,8.0343,251.916
1696850621,28.9072,1.74554,46.1446,11.6161,260.554
1696854221,33.02,1.43248,47.897,8.85476,217.248
1696857821,29.6473,10.3798,54.4987,15.7846,1097.98
1696861421,28.703,9.5359,52.3142,16.0223,1041.59
1696865021,21.9427,0.424846,41.966,14.0719,132.485
1696868621,28.8564,2.87778,59.4916,7.6451,341.778
1696872221,32.7697,5.76845,54.5573,19.6096,645.845
1696875821,30.9878,4.55696,53.856,15.839,508.696
1696879421,24.5289,5.6922,40.9992,12.0521,663.22
1696883021,34.3755,6.84875,41.2165,9.20429,763.875
1696886621,32.6911,10.5712,44.2494,17.1982,1118.12
1696890221,28.5592,11.3346,40.1831,13.3006,1217.46
1696893821,29.1931,8.97607,52.1189,13.6022,955.607
1696897421,37.0071,0.55786,46.9961,12.214,129.786
1696901021,30.6801,10.7878,52.4662,19.2502,1137.78
1696904621,32.2785,4.58429,51.2571,7.69509,552.429
1696908221,25.6777,4.9099,46.1281,12.0279,544.99
1696911821,23.8766,8.58606,52.2514,7.34715,941.606
1696915421,36.3341,1.1908,40.6207,7.24201,213.08
1696919021,31.4958,5.81986,58.7353,18.1532,647.986
1696922621,37.4005,8.15168,52.2318,16.4547,874.168
1696926221,33.5352,0.185345,51.652,18.3805,117.534
1696929821,24.1342,7.12913,55.8635,8.02716,810.913
1696933421,22.9728,3.24489,51.7887,14.6781,384.489
1696937021,33.4654,9.58857,53.455,17.6088,1049.86
1696940621,36.5689,4.86232,45.3462,7.13291,559.232
1696944221,24.7655,1.87455,55.4204,10.0172,242.455
1696947821,32.9339,4.97759,42.3371,18.3083,572.759
1696951421,30.8492,8.81259,57.879,15.176,959.259
1696955021,30.2463,3.18148,58.0401,13.9624,378.148
1696958621,30.5831,4.81042,43.9473,19.5477,540.042
1696962221,26.4187,8.57589,59.068,17.3664,932.589
1696965821,25.3413,2.30474,52.5742,18.5745,306.474
1696969421,35.4559,0.89264,45.2998,15.0201,169.264
1696973021,28.4313,5.1878,55.7622,16.5186,589.78
1696976621,39.9348,3.55357,49.6188,16.2806,412.357
1696980221,36.0805,0.594366,57.1068,17.4851,157.437
1696983821,20.8306,9.3043,51.4664,10.9972,995.43
1696987421,35.0565,3.32867,43.8374,16.9066,423.867
1696991021,30.6248,6.18555,40.307,19.9353,671.555
1696994621,20.144,3.05464,43.4828,15.9913,400.464
1696998221,39.6928,1.2983,53.5325,10.5746,195.83
1697001821,23.0489,6.49627,47.4245,14.2365,724.627
1697005421,25.9938,0.800535,52.7647,10.0228,158.054
1697009021,23.5898,11.7088,59.4208,9.65975,1243.88
1697012621,38.8952,0.451632,55.3844,7.29756,99.1632
1697016221,24.9853,8.07538,40.1849,7.61058,862.538
1697019821,25.1367,1.56934,46.8648,15.3704,226.934
1697023421,30.3164,2.42833,41.8134,12.4147,311.833
1697027021,22.4612,9.84241,46.7598,16.0905,1036.24
1697030621,38.4293,0.081993,50.7096,18.3912,90.1993
1697034221,24.0747,6.62752,49.3155,7.70183,741.752
1697037821,32.2205,2.96076,57.2668,12.5484,364.076
1697041421,23.6705,0.827535,51.3163,8.13666,149.753
1697045021,27.1334,4.21735,57.2845,17.1201,501.735
1697048621,29.1212,3.88465,57.2875,10.8091,457.465
1697052221,22.6825,6.20429,56.5728,16.709,715.429
1697055821,32.4927,8.2124,58.1664,18.3349,887.24
1697059421,23.4254,7.8472,48.8034,13.7855,856.72
1697063021,31.5924,3.96144,56.4611,11.6022,451.144
1697066621,33.8405,4.05742,40.0171,9.20786,473.742
1697070221,29.0842,11.3795,41.2745,17.0562,1190.95
1697073821,27.5769,9.72421,53.6778,12.0136,1066.42
1697077421,27.8868,6.23476,42.8571,9.00314,708.476
1697081021,34.7695,1.1037,40.3711,11.4998,174.37
1697084621,33.789,6.55187,41.073,15.4192,738.187
1697088221,26.5984,5.58892,48.6343,15.2871,651.892
1697091821,23.4825,9.51194,47.839,10.1537,1036.19
1697095421,32.6087,11.5171,40.4566,17.1645,1245.71
1697099021,31.4496,7.07703,52.6853,8.79962,770.703
1697102621,24.8274,6.55419,49.2685,19.7854,729.419
1697106221,31.6549,8.58277,55.6432,10.9091,915.277
1697109821,29.9345,7.93803,52.1604,13.2479,884.803
1697113421,39.0816,1.00041,55.1164,19.7977,191.041
1697117021,32.9391,11.7941,54.2326,12.9333,1230.41
1697120621,29.4656,6.46376,52.833,17.0816,698.376
1697124221,23.4899,6.79104,53.7632,19.2994,766.104
1697127821,35.4632,6.19308,45.8077,14.373,677.308
1697131421,22.96,2.17939,44.9287,16.2607,297.939
1697135021,33.543,7.81512,59.0411,13.4042,872.512
1697138621,36.9931,5.79614,52.4674,16.9471,668.614
1697142221,38.688,1.59762,54.9107,17.3839,213.762
1697145821,22.3324,3.84756,52.5895,9.66015,442.756
1697149421,29.8475,0.385903,58.3679,14.6868,95.5903
1697153021,35.7214,5.87986,48.9944,13.3621,641.986
1697156621,32.7652,5.37232,43.6586,19.2252,626.232
1697160221,37.8493,1.61573,54.6098,9.63912,237.573
1697163821,39.5299,3.10973,40.8271,15.126,377.973
1697167421,31.7941,0.980123,51.127,7.44871,178.012
1697171021,34.7558,0.0732475,41.2275,12.8023,84.3248
1697174621,27.9086,0.182813,52.0182,8.66076,68.2813
1697178221,36.3545,10.9619,53.2047,9.24635,1187.19
1697181821,37.5414,10.4401,53.0717,11.1075,1133.01
1697185421,35.4234,8.59398,44.4325,12.5575,916.398
1697189021,27.3576,7.98844,49.9509,9.16382,855.844
1697192621,35.1184,9.3876,48.7014,17.4355,1037.76
1697196221,39.255,7.54191,47.5179,11.4133,846.191
1697199821,36.0311,0.251399,54.666,17.7552,95.1399
1697203421,32.9038,9.22722,53.0119,15.3633,986.722
1697207021,28.3715,4.53005,54.7435,16.5416,508.005
1697210621,30.3837,4.20494,47.2652,13.0558,487.494
1697214221,26.7344,8.56993,56.4245,18.7606,914.993
1697217821,37.0754,3.2722,57.3888,8.41279,409.22
1697221421,39.8541,6.83314,48.3334,7.50862,745.314
1697225021,33.3405,4.97884,43.2972,7.88076,588.884
1697228621,21.6513,4.37304,51.8223,8.51991,528.304
1697232221,37.9487,5.10144,51.6019,15.0376,585.144
1697235821,35.5641,6.79794,58.3129,16.5103,741.794
1697239421,33.1622,8.08741,56.1773,10.8805,869.741
1697243021,36.2115,6.53873,55.4503,19.9675,710.873
1697246621,35.4188,1.1939,47.7651,9.21738,209.39
1697250221,28.6675,10.3977,43.9125,14.5528,1128.77
1697253821,34.3518,4.7902,47.6345,9.47328,530.02
1697257421,24.6967,2.30691,43.9631,8.5707,306.691
1697261021,38.8233,4.41464,55.2208,17.0252,531.464
1697264621,27.3433,1.89948,48.9724,7.02301,282.948
1697268221,20.1653,8.95425,49.227,17.42,952.425
1697271821,28.2096,10.0372,44.77,16.742,1102.72
1697275421,29.3917,1.41388,58.4405,8.20569,220.388
1697279021,39.4203,5.2743,41.1927,18.1413,624.43
1697282621,28.2241,7.54525,54.9443,15.2165,840.525
1697286221,36.0973,0.961903,58.1982,10.3247,146.19
1697289821,39.3489,8.24292,51.0569,9.59508,913.292
1697293421,20.1191,4.44195,55.8074,13.7882,513.195
1697297021,32.8779,6.873,54.6348,7.31263,786.3
1697300621,30.84,8.65185,57.5109,18.8848,951.185
1697304221,25.0878,1.19153,47.8988,10.9706,194.153
1697307821,24.9414,3.32427,53.0393,7.68358,389.427
1697311421,38.3525,1.78748,55.1238,16.9915,264.748
1697315021,31.1481,2.56532,41.1505,9.01187,326.532
1697318621,37.2307,2.25522,46.9173,7.42491,323.522
1697322221,37.8264,5.55333,48.7252,17.376,651.333
1697325821,28.4378,5.41624,45.9059,15.2621,591.624
1697329421,36.6825,6.58788,41.5857,18.3666,721.788
1697333021,31.1003,2.34997,42.8602,8.8619,313.997
1697336621,23.6392,11.6451,47.4764,11.0134,1236.51
1697340221,38.0126,7.56529,56.2841,7.60622,834.529
1697343821,23.3714,3.26375,45.1302,18.6725,418.375
1697347421,36.7341,0.678853,44.5875,9.70418,149.885
1697351021,38.1069,1.22064,57.7538,18.373,183.064
1697354621,35.5631,10.9206,40.8179,14.9205,1151.06
1697358221,33.7416,8.77409,47.1181,9.38878,969.409
1697361821,28.2252,1.10082,57.8893,9.40584,204.082
1697365421,32.6164,3.95021,58.2336,14.1025,466.021
1697369021,21.4668,11.9735,59.9866,16.4984,1286.35
1697372621,20.1373,10.7801,56.8041,18.2766,1166.01
1697376221,30.6573,2.14913,45.6874,11.8672,306.913
1697379821,29.4373,0.817547,54.8363,19.6588,159.755
1697383421,33.7889,4.07694,52.9008,7.4015,498.694
1697387021,23.1344,10.5026,56.3634,16.567,1133.26
1697390621,22.9642,2.99593,47.5014,16.3456,375.593
1697394221,36.0665,4.02165,57.7935,18.9006,494.165
1697397821,31.0212,4.80793,48.9773,17.0554,565.793
1697401421,36.6022,2.58857,48.3694,9.97198,340.857
1697405021,23.6662,7.78022,50.0339,18.9474,876.022
1697408621,20.6802,7.1663,58.1304,16.8082,793.63
1697412221,39.431,8.58319,55.4234,7.41737,919.319
1697415821,22.3207,11.6039,56.1278,14.2358,1259.39
1697419421,34.3553,3.50474,50.7785,11.311,424.474
1697423021,28.1532,5.41906,52.9374,18.3016,609.906
1697426621,31.2693,5.57859,47.4209,17.5664,640.859
1697430221,24.7068,8.35323,51.2259,7.45466,916.323
1697433821,21.1261,9.12053,46.4986,8.55721,1009.05
1697437421,26.7902,9.2545,58.8037,9.61928,990.45
1697441021,33.2272,9.04631,57.879,18.0413,998.631
1697444621,30.1783,10.8357,52.6951,9.88748,1154.57
1697448221,39.8886,7.71963,48.4732,15.1126,853.963
1697451821,36.7117,9.60805,42.7924,18.2337,1040.8
1697455421,38.391,11.526,53.6332,10.7956,1231.6
1697459021,24.505,9.67057,52.1445,19.4648,1031.06
1697462621,27.442,9.57569,56.3677,12.4953,1011.57
1697466221,22.3279,0.106881,50.3305,8.7651,101.688
1697469821,35.9,5.36597,54.9663,7.09085,625.597
1697473421,20.1094,2.1384,49.2453,18.7277,285.84
1697477021,31.2383,10.7444,52.6194,7.65661,1126.44
1697480621,22.6603,11.4681,59.3817,15.8715,1238.81
1697484221,21.3723,6.55197,45.3188,16.183,738.197
1697487821,35.1213,0.555379,51.9443,15.4061,105.538
1697491421,29.2865,5.32882,49.2013,17.975,616.882
1697495021,32.8322,4.73032,40.2899,11.5708,539.032
1697498621,36.2287,1.89008,48.0776,15.1443,267.008
1697502221,27.9101,10.3711,45.7765,7.35905,1123.11
1697505821,36.7351,10.464,48.6435,18.4904,1145.4
1697509421,26.3236,4.34004,50.6626,11.9787,490.004
1697513021,25.4375,7.21574,57.304,19.6652,797.574
1697516621,29.7923,10.5114,46.6591,16.0953,1101.14
1697520221,31.2539,5.16253,51.1924,13.4812,606.253
1697523821,30.664,9.10987,44.6608,11.9168,992.987
1697527421,23.1177,8.28635,59.2822,18.1738,905.635
1697531021,27.6956,0.243329,41.529,14.5916,79.3329
1697534621,28.6823,7.14628,49.9716,10.969,812.628
1697538221,29.1569,8.61994,46.0854,18.3722,957.994
1697541821,30.4217,11.5267,51.7685,19.1276,1242.67
1697545421,22.1357,1.94005,51.2143,10.631,288.005
1697549021,22.1878,8.57143,46.028,10.2509,928.143
1697552621,36.3848,3.3117,44.6217,18.2658,396.17
1697556221,38.5329,8.79585,57.8069,12.8083,969.585
1697559821,34.965,9.49381,59.9048,7.37413,1040.38
1697563421,36.0572,11.9789,45.1387,15.0495,1276.89
1697567021,29.8169,9.99962,44.6297,8.5096,1078.96
1697570621,28.9257,8.8843,40.9857,19.4775,986.43
1697574221,34.1998,1.07236,45.5947,11.3895,176.236
1697577821,31.1987,1.84841,48.2455,13.3772,279.841
1697581421,24.1001,0.0192069,45.8431,14.8138,80.9207
1697585021,38.7724,7.24334,59.0265,12.2215,795.334
1697588621,32.1314,0.106804,55.8885,17.854,107.68
1697592221,31.1485,6.80467,57.4017,14.7071,774.467
1697595821,20.6341,5.37451,45.3584,19.2093,608.451
1697599421,24.8711,6.83255,42.5526,16.344,778.255
1697603021,23.7239,11.3699,43.5182,13.1475,1208.99
1697606621,28.0331,4.93825,49.0957,7.54115,563.825
1697610221,31.6919,2.49251,40.2893,8.76946,302.251
1697613821,26.4383,0.940648,55.9441,17.641,180.065
1697617421,31.9087,0.119246,45.9749,15.5605,76.9246
1697621021,23.8192,10.6884,56.8426,18.9796,1146.84
1697624621,34.3196,10.5334,40.4602,13.4839,1148.34
1697628221,24.6593,9.49126,47.1242,7.4015,1047.13
1697631821,24.4489,11.678,43.6085,12.3274,1254.8
1697635421,37.6677,7.26659,54.8979,9.36735,790.659
1697639021,32.6581,3.07629,50.5124,7.75698,398.629
1697642621,25.4043,10.8711,43.1764,17.4874,1142.11
1697646221,36.0371,4.24777,40.5847,8.71352,477.777
1697649821,38.4463,6.39322,44.9843,17.635,732.322
1697653421,29.7351,7.98858,50.7987,11.5098,882.858
1697657021,28.0011,0.178454,58.6505,18.3198,91.8454
1697660621,33.3841,4.4028,43.0647,8.36756,500.28
1697664221,34.8666,4.66639,57.9028,17.4033,523.639
1697667821,30.988,0.910837,56.4483,18.34,176.084
1697671421,24.2986,1.95145,53.4391,14.1342,250.145
1697675021,28.367,3.2522,58.9892,10.6579,403.22
1697678621,27.7468,11.506,51.8961,16.4646,1204.6
1697682221,39.3463,10.1795,43.9589,8.71551,1100.95
1697685821,35.031,3.98385,47.1065,13.3356,476.385
1697689421,24.349,9.42425,53.8359,13.2197,1003.42
1697693021,32.5281,2.10256,59.6515,15.7247,298.256
1697696621,34.8222,4.05617,44.7163,13.6764,466.617
1697700221,31.1999,6.57092,46.5291,13.2967,725.092
1697703821,21.8685,7.33074,46.7306,14.4202,806.074
1697707421,21.1879,3.74589,45.8034,9.19993,445.589
1697711021,37.1155,4.12865,54.7935,18.9966,502.865
1697714621,27.2072,9.37523,53.7339,15.4557,1017.52
1697718221,39.8443,8.92515,41.2885,16.9693,942.515
1697721821,25.3515,11.7403,46.8313,18.1679,1224.03
1697725421,35.6389,2.46403,40.4157,13.2959,333.403
1697729021,29.5585,0.741475,50.8115,15.0407,138.147
1697732621,35.9078,8.8497,55.5473,14.3929,983.97
1697736221,22.0818,6.91512,55.1988,16.0576,777.512
1697739821,39.9137,8.99655,48.4701,9.05393,987.655
1697743421,38.3873,2.03736,48.7674,7.27851,257.736
1697747021,32.5212,0.996501,45.3853,13.5819,165.65
1697750621,21.1184,6.78644,59.6411,10.1831,735.644
1697754221,32.257,5.88723,41.4203,15.0019,659.723
1697757821,33.2429,1.05061,57.2015,19.4219,165.061
1697761421,24.8969,4.06665,45.7906,10.1446,470.665
1697765021,22.0131,0.901601,43.4492,19.9052,154.16
1697768621,26.8967,6.03119,46.0183,9.86169,656.119
1697772221,39.767,8.11375,41.6736,15.445,904.375
1697775821,39.3134,5.36208,44.3507,8.77422,625.208
1697779421,28.7865,6.03543,52.6456,9.31736,693.543
1697783021,36.5012,11.8541,55.1769,12.8983,1246.41
1697786621,28.9352,0.544055,45.6502,7.74627,107.406
1697790221,24.9483,4.94837,51.3517,18.3523,586.837
1697793821,38.9183,11.3885,55.9081,8.05573,1188.85
1697797421,29.2647,3.94308,52.3771,15.255,493.308
1697801021,39.035,0.52474,43.885,14.7107,147.474
1697804621,28.7551,3.10513,40.846,10.0097,368.513
1697808221,34.5978,10.3379,48.1362,10.3168,1129.79
1697811821,22.3813,11.9183,58.001,10.5421,1252.83
1697815421,36.9408,10.2073,44.1298,16.4583,1096.73
1697819021,38.6186,11.7597,47.0797,14.8594,1274.97
1697822621,35.1777,7.39153,59.5209,15.6854,822.153
1697826221,35.8206,4.54032,46.9393,18.6451,529.032
1697829821,36.7297,6.44841,44.0333,15.6466,732.841
1697833421,24.018,2.91818,50.64,11.6208,379.818
1697837021,27.9645,0.255815,41.9922,9.85971,89.5815
1697840621,23.1271,5.93312,56.8761,16.2214,665.312
1697844221,21.0753,0.080753,40.1154,17.6489,65.0753
1697847821,25.0481,3.93552,58.7066,14.8602,465.552
1697851421,32.8275,4.8921,54.9382,14.8757,556.21
1697855021,30.3468,11.1179,56.6021,18.859,1178.79
1697858621,29.562,11.9688,55.6847,10.9634,1256.88
1697862221,25.3307,11.0257,53.7809,14.054,1157.57
