Time, Temperature(C), Prev. Hrs. Energy consumption (W-hr), Voltage (volts), Current (amps), Average Energy till now (W-hr), Energy Consumption Estimated for Current Hr. (W-hr)
10, 27.6111, 2843.33, 226.972, 10.9292, 3179.25, 2579.09
11, 32.1911, 2579.09, 223.919, 9.35249, 3125.7, 2536.63
12, 36.8543, 2536.63, 224.688, 15.325, 3232.89, 4519.16
13, 20.6111, 4519.16, 225.018, 10.0367, 3105.98, 1456.2
14, 28.7052, 1456.2, 224.059, 15.5622, 3132.54, 3504.29
15, 22.6402, 3504.29, 224.297, 9.1499, 3022.23, 1367.61
16, 33.0707, 1367.61, 237.995, 17.8307, 3085.37, 4095.58
17, 36.9993, 4095.58, 235.655, 8.4589, 3074.77, 2894.63
18, 31.6228, 2894.63, 226.364, 16.7319, 3100.58, 3565.11
19, 26.3852, 3565.11, 225.048, 18.1485, 3088.41, 2857.29
20, 24.7357, 2857.29, 225.775, 10.5309, 3039.63, 2063.97
21, 25.6066, 2063.97, 231.829, 10.1264, 2980.67, 1742.46
22, 34.6028, 1742.46, 222.473, 6.08531, 2931.4, 1847.53
23, 25.142, 1847.53, 226.958, 13.5736, 2918.29, 2616.75
0, 23.8073, 2616.75, 229.808, 12.5319, 2664.52, 2664.52
1, 32.4009, 2664.52, 234.541, 12.3447, 3172.52, 3680.51
2, 32.6042, 3680.51, 224.323, 15.5812, 3263.81, 3446.4
3, 20.0723, 3446.4, 224.188, 14.0486, 2927.15, 1917.15
4, 25.1907, 1917.15, 231.919, 19.9064, 3110.86, 3845.72
5, 33.8131, 3845.72, 235.645, 14.8578, 3340.99, 4491.66
6, 24.5273, 4491.66, 238.478, 7.35757, 3080.72, 1519.08
7, 22.2956, 1519.08, 230.312, 5.75403, 2797.57, 815.508
8, 22.5917, 815.508, 223.546, 16.9681, 2769.29, 2543.08
9, 27.4401, 2543.08, 230.631, 14.0742, 2780.16, 2877.99
10, 32.5265, 2877.99, 235.371, 5.36526, 2655.73, 1411.37
11, 24.8765, 1411.37, 225.644, 13.7589, 2646.55, 2545.61
12, 23.18, 2545.61, 227.626, 10.4542, 2591.5, 1930.95
13, 31.6827, 1930.95, 220.74, 11.8736, 2596.2, 2657.22
14, 33.1526, 2657.22, 222.014, 13.7732, 2673.24, 3751.85
15, 35.2719, 3751.85, 229.194, 6.39487, 2626.71, 1928.73
16, 24.605, 1928.73, 226.556, 12.2024, 2629.58, 2675.57
17, 23.3947, 2675.57, 234.449, 18.4891, 2674.09, 3430.68
18, 38.4735, 3430.68, 231.173, 18.597, 2782.35, 4730.97
19, 35.0947, 4730.97, 236.943, 7.22436, 2751.93, 2174.04
20, 22.0608, 2174.04, 235.303, 19.6875, 2805.41, 3874.96
21, 22.1268, 3874.96, 235.35, 7.56088, 2743.22, 1437.26
22, 27.5437, 1437.26, 235.009, 8.21641, 2700.93, 1770.5
23, 24.6969, 1770.5, 226.377, 17.486, 2743.04, 3711.51
0, 35.0797, 3711.51, 233.775, 13.5304, 4514.08, 4514.08
1, 34.2455, 4514.08, 233.459, 16.1753, 4486.1, 4458.11
2, 21.3009, 4458.11, 221.443, 19.3221, 3976.47, 2957.2
3, 29.2729, 2957.2, 232.664, 16.0965, 3836.41, 3416.23
4, 33.7874, 3416.23, 236.678, 19.5182, 4184.82, 5578.46
5, 39.9379, 5578.46, 225.995, 14.2203, 4074.5, 3522.93
6, 25.3586, 3522.93, 224.619, 16.4099, 3970.49, 3346.39
7, 21.9076, 3346.39, 228.565, 12.1272, 3688.06, 1711.05
8, 34.6427, 1711.05, 230.58, 13.7774, 3636.89, 3227.59
9, 37.1079, 3227.59, 229.162, 8.24637, 3495.94, 2227.37
10, 38.3522, 2227.37, 222.876, 17.8935, 3626.37, 4930.66
11, 20.6704, 4930.66, 224.39, 5.32426, 3380.42, 674.96
12, 20.1284, 674.96, 229.176, 5.29434, 3178.26, 752.344
13, 28.5271, 752.344, 234.644, 17.4196, 3216.39, 3712.14
14, 35.9767, 3712.14, 231.122, 19.3398, 3357.88, 5338.71
15, 27.1664, 5338.71, 233.781, 17.995, 3365.85, 3485.38
16, 35.9131, 3485.38, 224.565, 6.8949, 3272.86, 1784.97
17, 24.5985, 1784.97, 233.937, 18.4782, 3279.72, 3396.38
18, 34.6965, 3396.38, 233.894, 18.0572, 3405.95, 5678.02
19, 36.4979, 5678.02, 225.639, 9.43246, 3351.04, 2307.89
20, 28.4838, 2307.89, 224.509, 17.2862, 3385.97, 4084.47
21, 26.0676, 4084.47, 233.706, 5.38165, 3287.3, 1215.16
22, 32.6625, 1215.16, 220.22, 19.4434, 3372.71, 5251.88
23, 38.1988, 5251.88, 230.507, 9.26909, 3349.02, 2804.08
0, 30.8295, 2804.08, 220.767, 17.3337, 3923.53, 3923.53
1, 36.4294, 3923.53, 236.695, 7.54651, 2878.56, 1833.6
2, 26.1771, 1833.6, 235.872, 7.25855, 2500, 1742.87
3, 23.0272, 1742.87, 222.55, 19.3245, 2562.23, 2748.94
4, 22.6955, 2748.94, 221.806, 18.2935, 2776.57, 3633.93
5, 27.9576, 3633.93, 234.715, 5.38346, 2524.7, 1265.32
6, 23.6936, 1265.32, 238.24, 18.667, 2729.07, 3955.33
7, 31.9812, 3955.33, 220.467, 9.78464, 2689.62, 2413.4
8, 24.4293, 2413.4, 237.3, 8.20082, 2542.43, 1364.97
9, 34.9417, 1364.97, 231.743, 16.5433, 2659.47, 3712.82
10, 21.6819, 3712.82, 226.194, 12.0986, 2625.9, 2290.17
11, 39.3581, 2290.17, 222.371, 18.693, 2929.76, 6272.2
12, 20.1832, 6272.2, 221.692, 18.4599, 2941.58, 3083.51
13, 34.1742, 3083.51, 232.385, 15.4076, 3022.76, 4078.02
14, 20.1403, 4078.02, 231.058, 18.6719, 3023.94, 3040.51
15, 26.3213, 3040.51, 220.523, 19.4292, 3087.28, 4037.42
16, 38.9434, 4037.42, 221.486, 16.5244, 3219.39, 5333.04
17, 23.2619, 5333.04, 228.987, 18.2314, 3198.69, 2846.77
18, 30.434, 2846.77, 231.391, 16.1778, 3222.52, 3651.47
19, 39.8847, 3651.47, 235.023, 8.88977, 3225.97, 3291.53
20, 25.9051, 3291.53, 229.132, 19.7163, 3272.33, 4199.5
21, 25.9595, 4199.5, 220.389, 6.69462, 3189.77, 1456.06
22, 30.774, 1456.06, 231.253, 10.4491, 3165.4, 2629.35
23, 35.9869, 2629.35, 232.302, 12.6584, 3157.98, 2987.35
0, 22.9808, 2987.35, 239.458, 7.14501, 1209.1, 1209.1
1, 31.6146, 1209.1, 225.741, 16.4133, 2669.24, 4129.38
2, 30.8937, 4129.38, 222.376, 7.74441, 2342.74, 1689.75
3, 20.6677, 1689.75, 236.143, 19.1535, 2694.14, 3748.35
4, 37.1722, 3748.35, 233.557, 7.69774, 2661.86, 2532.71
5, 32.5356, 2532.71, 231.55, 10.1254, 2715.84, 2985.77
6, 31.3364, 2985.77, 224.047, 5.00405, 2481.42, 1074.91
7, 30.3895, 1074.91, 220.136, 7.32941, 2346.66, 1403.34
8, 30.4224, 1403.34, 233.256, 7.26692, 2310.18, 2018.35
9, 20.7031, 2018.35, 234.995, 12.0824, 2275.36, 1961.9
10, 38.73, 1961.9, 227.403, 5.85827, 2231.4, 1791.86
11, 23.4452, 1791.86, 222.956, 12.8951, 2230.45, 2220.03
12, 20.7749, 2220.03, 235.486, 11.4545, 2230.3, 2228.4
13, 30.0157, 2228.4, 225.852, 18.6635, 2405.14, 4678.11
14, 26.6811, 4678.11, 236.961, 13.8719, 2464.75, 3299.3
15, 26.6496, 3299.3, 234.638, 7.68547, 2396.64, 1375.01
16, 26.2542, 1375.01, 222.156, 7.42895, 2353.8, 1668.3
17, 34.4712, 1668.3, 235.715, 6.1158, 2306.16, 1496.28
18, 23.1191, 1496.28, 222.486, 9.38145, 2257.97, 1390.64
19, 22.3457, 1390.64, 227.246, 12.7456, 2271.2, 2522.47
20, 31.6851, 2522.47, 226.934, 18.8962, 2364.75, 4235.67
21, 21.0539, 4235.67, 224.227, 18.3522, 2412.46, 3414.43
22, 23.3188, 3414.43, 225.807, 15.3602, 2420.97, 2608.21
23, 22.9689, 2608.21, 234.278, 18.6167, 2462.13, 3408.73
0, 30.3323, 3408.73, 233.378, 7.49269, 1904.13, 1904.13
1, 28.3243, 1904.13, 235.865, 12.1376, 2170.4, 2436.67
2, 31.7193, 2436.67, 223.315, 10.7367, 2432.62, 2957.06
3, 33.7643, 2957.06, 231.489, 14.4778, 2960.62, 4544.61
4, 24.7051, 4544.61, 231.761, 17.1822, 3012.46, 3219.83
5, 29.3488, 3219.83, 223.265, 5.07081, 2717.8, 1244.49
6, 37.2439, 1244.49, 223.304, 16.1512, 2860.12, 3714.05
7, 29.7036, 3714.05, 229.492, 9.16302, 2753.22, 2004.88
8, 20.5524, 2004.88, 227.206, 15.859, 2766.71, 2874.67
9, 33.0089, 2874.67, 220.357, 12.7543, 2852.85, 3628.06
10, 35.4661, 3628.06, 229.592, 19.7649, 3016.14, 4649.13
11, 32.9559, 4649.13, 239.901, 13.7673, 3100.85, 4032.66
12, 37.671, 4032.66, 234.521, 16.863, 3219.16, 4638.84
13, 30.2144, 4638.84, 233.341, 16.0728, 3291.03, 4225.35
14, 21.2685, 4225.35, 239.626, 11.9521, 3234.61, 2444.65
15, 36.6844, 2444.65, 228.74, 8.24022, 3176.21, 2300.32
16, 28.4492, 2300.32, 224.163, 5.57956, 3051.36, 1053.7
17, 26.6612, 1053.7, 239.217, 19.0584, 3146.51, 4764.16
18, 31, 4764.16, 221.054, 16.5553, 3152.94, 3268.56
19, 25.5164, 3268.56, 221.988, 16.9353, 3158.96, 3273.4
20, 23.9119, 3273.4, 223.657, 18.6862, 3200.94, 4040.53
21, 20.0471, 4040.53, 224.25, 15.3758, 3160.18, 2304.23
22, 32.7588, 2304.23, 227.175, 12.5771, 3178.37, 3578.5
23, 25.4566, 3578.5, 227.552, 6.95111, 3107.35, 1474.03
0, 37.3086, 1474.03, 239.274, 15.5594, 4768.15, 4768.15
1, 37.4085, 4768.15, 233.682, 11.6732, 4153.09, 3538.04
2, 20.4045, 3538.04, 230.645, 8.71916, 3246.81, 1434.25
3, 25.3203, 1434.25, 224.096, 11.9824, 3075.86, 2563.01
4, 36.1147, 2563.01, 228.558, 6.49437, 2756.12, 1477.15
5, 27.3503, 1477.15, 235.072, 13.2416, 2768.87, 2832.65
6, 26.9824, 2832.65, 231.524, 14.0911, 2788.07, 2903.21
7, 26.7075, 2903.21, 223.906, 12.906, 2767.24, 2621.48
8, 37.3692, 2621.48, 226.898, 13.0639, 2890.56, 3877.14
9, 20.6037, 3877.14, 232.847, 15.8529, 2825.76, 2242.48
10, 31.592, 2242.48, 224.396, 10.9659, 2788.91, 2420.5
11, 20.7228, 2420.5, 232.561, 13.2767, 2727.01, 2046.03
12, 32.3939, 2046.03, 225.235, 16.221, 2889.2, 4835.5
13, 31.3906, 4835.5, 226.98, 8.83646, 2807.17, 1740.83
14, 29.8081, 1740.83, 226.495, 19.6927, 2956.14, 5041.71
15, 26.7888, 5041.71, 223.857, 6.65204, 2850.92, 1272.58
16, 24.4664, 1272.58, 231.402, 13.5345, 2815.14, 2242.67
17, 21.45, 2242.67, 220.366, 7.44765, 2716.13, 1033.02
18, 27.5232, 1033.02, 237.784, 9.58329, 2708.7, 2574.89
19, 33.1642, 2574.89, 237.804, 11.064, 2729.59, 3126.42
20, 24.2032, 3126.42, 229.414, 19.8606, 2751.33, 3186.29
21, 38.8313, 3186.29, 225.8, 6.31694, 2719.95, 2060.78
22, 31.55, 2060.78, 232.361, 15.0099, 2747.09, 3344.28
23, 28.4366, 3344.28, 233.833, 18.7398, 2803.02, 4089.49
0, 36.1233, 4089.49, 232.227, 14.6083, 4726, 4726
1, 21.8389, 4726, 232.231, 9.13934, 3044.48, 1362.95
2, 34.8467, 1362.95, 235.36, 15.9355, 3300.45, 3812.41
3, 24.1771, 3812.41, 239.597, 13.6097, 3216.58, 2964.96
4, 38.7428, 2964.96, 237.167, 11.9459, 3307.69, 3672.15
5, 30.9571, 3672.15, 231.641, 9.91742, 3146.09, 2338.04
6, 32.9492, 2338.04, 227.546, 13.0912, 3213.16, 3615.59
7, 27.4498, 3615.59, 223.266, 14.3529, 3186.08, 2996.52
8, 21.2542, 2996.52, 237.65, 19.9656, 3166.79, 3012.45
9, 24.4358, 3012.45, 229.773, 11.2684, 3028.61, 1785
10, 37.8889, 1785, 238.539, 9.74337, 2982.47, 2521.11
11, 37.6414, 2521.11, 228.822, 9.35485, 3001.48, 3210.53
12, 28.1827, 3210.53, 227.47, 14.1913, 3047.62, 3601.3
13, 31.7887, 3601.3, 234.017, 14.154, 3099.19, 3769.58
14, 22.9184, 3769.58, 221.453, 5.16937, 2941.58, 735.046
15, 27.4295, 735.046, 223.666, 9.3139, 2868.94, 1779.45
16, 32.5103, 1779.45, 230.576, 13.3057, 2894.17, 3297.86
17, 22.1435, 3297.86, 232.92, 6.00201, 2798.16, 1165.88
18, 29.7306, 1165.88, 238.908, 15.6635, 2842.19, 3634.7
19, 20.7739, 3634.7, 232.399, 5.59384, 2742.76, 853.692
20, 30.1307, 853.692, 239.877, 11.3468, 2724.77, 2365.03
21, 25.4235, 2365.03, 236.037, 14.6727, 2724.43, 2717.15
22, 38.4804, 2717.15, 234.679, 11.1227, 2767.08, 3705.44
23, 34.5228, 3705.44, 230.895, 11.7328, 2782.45, 3135.99
0, 28.5546, 3135.99, 225.286, 5.80202, 1354.28, 1354.28
1, 33.6319, 1354.28, 237.662, 18.0075, 2827.07, 4299.85
2, 30.3828, 4299.85, 222.578, 11.3233, 2836.58, 2855.61
3, 20.5276, 2855.61, 231.137, 14.2769, 2778.23, 2603.18
4, 23.0573, 2603.18, 228.96, 10.2894, 2561.38, 1693.95
5, 36.7562, 1693.95, 237.813, 6.49716, 2473.83, 2036.12
6, 31.9893, 2036.12, 230.407, 13.9606, 2610.88, 3433.19
7, 37.015, 3433.19, 233.728, 7.18901, 2548.98, 2115.65
8, 21.9463, 2115.65, 229.346, 19.0193, 2686.62, 3787.72
9, 29.9147, 3787.72, 236.792, 19.844, 2980.87, 5629.18
10, 35.4076, 5629.18, 226.545, 19.7248, 3187.33, 5251.85
11, 39.9536, 5251.85, 224.749, 8.39218, 3136.62, 2578.9
12, 23.316, 2578.9, 223.663, 6.89827, 2997.63, 1329.66
13, 23.8207, 1329.66, 226.4, 18.5423, 3012.96, 3212.35
14, 24.4253, 3212.35, 234.308, 6.21114, 2885.56, 1101.96
15, 38.8598, 1101.96, 220.505, 17.4972, 2962.24, 4112.31
16, 21.2411, 4112.31, 232.015, 9.46778, 2899.94, 1903.22
17, 33.4571, 1903.22, 236.321, 11.7836, 2922.57, 3307.32
18, 30.7209, 3307.32, 228.414, 19.5607, 2980.65, 4026.13
19, 35.5984, 4026.13, 237.578, 15.9437, 3073.37, 4834.89
20, 31.8361, 4834.89, 225.358, 14.904, 3108.53, 3811.85
21, 20.254, 3811.85, 222.754, 7.13524, 3011.97, 984.145
22, 25.0192, 984.145, 237.948, 13.2642, 3011.96, 3011.78
23, 37.705, 3011.78, 238.412, 13.4163, 3065.11, 4287.51
0, 33.7926, 4287.51, 230.961, 8.21589, 2612.54, 2612.54
1, 22.7808, 2612.54, 236.058, 14.5222, 2780.9, 2949.26
2, 24.8042, 2949.26, 221.203, 14.7479, 2919.19, 3195.78
3, 25.3114, 3195.78, 239.967, 5.57915, 2421.83, 929.75
4, 32.1494, 929.75, 224.741, 5.89781, 2236.99, 1497.62
5, 32.7692, 1497.62, 227.884, 18.2087, 2690.54, 4958.31
6, 34.9544, 4958.31, 229.025, 5.34059, 2487.29, 1267.75
7, 22.914, 1267.75, 222.194, 17.8988, 2626.12, 3597.94
8, 36.1866, 3597.94, 226.483, 13.1986, 2762.3, 3851.78
9, 21.7637, 3851.78, 224.325, 12.037, 2706.15, 2200.73
10, 21.9784, 2200.73, 233.277, 11.1914, 2662.92, 2230.62
11, 33.5037, 2230.62, 235.228, 13.3019, 2764.72, 3884.55
12, 35.5061, 3884.55, 221.747, 17.2319, 2954.47, 5231.5
13, 30.0541, 5231.5, 222.957, 7.35315, 2839.95, 1351.19
14, 38.5497, 1351.19, 225.329, 5.06662, 2743.99, 1400.57
15, 35.0371, 1400.57, 234.781, 11.1628, 2731.13, 2538.25
16, 29.073, 2538.25, 231.431, 9.84881, 2687.06, 1981.93
17, 27.9572, 1981.93, 230.802, 12.4368, 2710.71, 3112.66
18, 34.3947, 3112.66, 223.68, 13.1453, 2760.04, 3648
19, 30.4239, 3648, 229.078, 14.1342, 2775.91, 3077.57
20, 34.9914, 3077.57, 232.615, 16.2226, 2848.01, 4289.83
21, 26.7714, 4289.83, 225.114, 13.6824, 2840.08, 2673.73
22, 20.8998, 2673.73, 237.125, 16.7186, 2830.49, 2619.46
23, 28.6655, 2619.46, 221.427, 8.17304, 2787.22, 1792.05
0, 32.8406, 1792.05, 228.039, 11.1273, 2386.33, 2386.33
1, 30.2748, 2386.33, 221.505, 8.52138, 2046.16, 1705.99
2, 23.0215, 1705.99, 230.189, 18.9576, 2717.28, 4059.54
3, 25.51, 4059.54, 224.557, 5.94515, 2331.63, 1174.67
4, 20.7999, 1174.67, 225.098, 5.29486, 2005.02, 698.579
5, 39.6493, 698.579, 221.515, 15.4866, 2554.04, 5299.12
6, 28.6596, 5299.12, 232.67, 15.5769, 2680.65, 3440.3
7, 30.9066, 3440.3, 237.429, 17.1216, 2830.68, 3880.92
8, 24.3577, 3880.92, 234.6, 11.9149, 2823.6, 2766.99
9, 28.8886, 2766.99, 230.955, 13.2859, 2841.77, 3005.23
10, 21.5746, 3005.23, 225.788, 7.68355, 2699.56, 1277.54
11, 35.1753, 1277.54, 239.347, 10.5678, 2688.26, 2563.98
12, 32.1994, 2563.98, 227.969, 8.74077, 2639.77, 2057.87
13, 39.8124, 2057.87, 225.543, 11.8187, 2742.75, 4081.38
14, 24.8299, 4081.38, 225.076, 15.2787, 2726.67, 2501.67
15, 34.1484, 2501.67, 231.434, 12.2113, 2784.94, 3658.9
16, 31.2202, 3658.9, 225.73, 15.0592, 2846.81, 3836.73
17, 31.3872, 3836.73, 227.889, 16.7326, 2947.69, 4662.65
18, 36.9374, 4662.65, 220.624, 19.5787, 3063.34, 5145.06
19, 24.6318, 5145.06, 220.051, 6.2316, 2967.8, 1152.51
20, 38.6402, 1152.51, 222.549, 10.9552, 2994.36, 3525.54
21, 21.3229, 3525.54, 225.425, 6.82618, 2912.94, 1203.23
22, 21.8633, 1203.23, 230.637, 18.5295, 2920.63, 3089.74
23, 27.551, 3089.74, 233.729, 15.3149, 2956.88, 3790.74
0, 27.2646, 3790.74, 224.424, 6.11908, 1047.92, 1047.92
1, 31.9214, 1047.92, 220.56, 5.11224, 1034.12, 1020.32
2, 22.7224, 1020.32, 234.636, 11.8856, 1495.85, 2419.32
3, 24.5665, 2419.32, 220.624, 11.4334, 1740.07, 2472.71
4, 34.032, 2472.71, 237.252, 13.094, 2003.46, 3057.02
5, 35.8754, 3057.02, 226.076, 19.1435, 2694.32, 6148.64
6, 34.0807, 6148.64, 229.43, 18.5464, 2956.92, 4532.49
7, 38.6973, 4532.49, 226.697, 16.7522, 3287.9, 5604.74
8, 22.2405, 5604.74, 238.153, 9.71976, 3091.29, 1518.41
9, 32.8788, 1518.41, 236.668, 19.8698, 3236.15, 4539.96
10, 34.4727, 4539.96, 227.717, 17.0842, 3424.55, 5308.55
11, 25.6038, 5308.55, 231.493, 15.7945, 3408.38, 3230.48
12, 25.6558, 3230.48, 222.828, 19.1578, 3405.56, 3371.64
13, 35.1928, 3371.64, 222.366, 15.4548, 3469.57, 4301.79
14, 30.6113, 4301.79, 230.287, 12.388, 3472.06, 3506.85
15, 22.5332, 3506.85, 232.327, 12.6531, 3378.57, 1976.22
16, 22.6352, 1976.22, 237.889, 10.0479, 3267.71, 1494.04
17, 27.6312, 1494.04, 228.578, 17.1361, 3258.92, 3109.48
18, 37.7937, 3109.48, 231.517, 19.5946, 3432.56, 6558.09
19, 31.8293, 6558.09, 233.114, 14.7311, 3446.48, 3710.97
20, 38.4444, 3710.97, 229.292, 6.20687, 3375.54, 1956.63
21, 32.6255, 1956.63, 233.512, 5.31083, 3282.87, 1336.75
22, 29.7748, 1336.75, 231.753, 9.66663, 3253.15, 2599.44
23, 26.6143, 2599.44, 226.627, 15.3978, 3271.19, 3686.19
0, 38.8386, 3686.19, 222.092, 15.1792, 5259.82, 5259.82
1, 20.932, 5259.82, 233.205, 6.32007, 3165.75, 1071.68
2, 36.7116, 1071.68, 237.374, 12.4618, 3152.35, 3125.55
3, 24.7366, 3125.55, 231.156, 6.62819, 2731.54, 1469.09
4, 23.4978, 1469.09, 232.329, 11.5146, 2575.93, 1953.52
5, 30.3741, 1953.52, 222.83, 9.89438, 2539.33, 2356.33
6, 36.8084, 2356.33, 238.11, 14.9023, 2685.51, 3562.54
7, 27.5486, 3562.54, 230.62, 10.3765, 2612.65, 2102.64
8, 30.7485, 2102.64, 222.638, 7.8292, 2510.17, 1690.38
9, 25.6088, 1690.38, 226.706, 14.9369, 2523.85, 2646.98
10, 30.2148, 2646.98, 234.61, 10.3782, 2514.68, 2422.93
11, 26.0991, 2422.93, 239.466, 11.2433, 2519.24, 2569.42
12, 26.7698, 2569.42, 239.945, 8.08551, 2478.79, 1993.42
13, 21.32, 1993.42, 223.866, 6.56812, 2379.7, 1091.44
14, 37.41, 1091.44, 220.848, 18.9512, 2616.34, 5929.29
15, 23.2062, 5929.29, 234.864, 9.81735, 2581.61, 2060.68
16, 31.2738, 2060.68, 236.876, 5.18386, 2494.12, 1094.35
17, 26.2946, 1094.35, 226.232, 14.842, 2493.26, 2478.62
18, 21.5627, 2478.62, 234.551, 6.88648, 2415.47, 1015.3
19, 23.2364, 1015.3, 237.806, 16.5102, 2425.59, 2617.9
20, 32.1123, 2617.9, 226.815, 19.6449, 2520.77, 4424.31
21, 20.4469, 4424.31, 233.606, 11.3299, 2492.45, 1897.72
22, 25.6579, 1897.72, 222.17, 6.26162, 2432.45, 1112.38
23, 31.5577, 1112.38, 225.945, 18.1698, 2491.73, 3855.28
0, 22.4524, 3855.28, 222.776, 16.8929, 3287.61, 3287.61
1, 37.5652, 3287.61, 222.751, 13.3867, 3402.91, 3518.21
2, 34.1857, 3518.21, 238.397, 17.6156, 3974.9, 5118.88
3, 39.6282, 5118.88, 232.273, 10.936, 3918.55, 3749.51
4, 26.6994, 3749.51, 237.586, 16.1924, 3766.75, 3159.52
5, 23.9088, 3159.52, 228.649, 9.74918, 3462.98, 1944.16
6, 21.6936, 1944.16, 227.508, 13.492, 3323.05, 2483.43
7, 23.2412, 2483.43, 224.047, 7.60547, 3051.92, 1154
8, 29.1293, 1154, 239.38, 13.6197, 3008.07, 2657.3
9, 32.1393, 2657.3, 227.182, 13.2286, 3027.74, 3204.74
10, 20.6537, 3204.74, 233.586, 14.0174, 2967.76, 2368.01
11, 34.8769, 2368.01, 235.446, 10.2346, 2944.31, 2686.28
12, 35.3147, 2686.28, 234.191, 10.0435, 2906.31, 2450.38
13, 35.8918, 2450.38, 238.87, 15.7462, 3063.12, 5101.65
14, 27.4678, 5101.65, 235.501, 6.20817, 2962.97, 1560.8
15, 28.2418, 1560.8, 233.191, 15.0664, 3030.23, 4039.24
16, 36.7373, 4039.24, 237.055, 7.76572, 2975.08, 2092.58
17, 24.6236, 2092.58, 221.143, 15.0578, 2981.26, 3086.44
18, 23.7816, 3086.44, 231.24, 8.45142, 2900.27, 1442.42
19, 33.2709, 1442.42, 221.859, 5.66613, 2832.09, 1536.73
20, 30.0346, 1536.73, 224.602, 11.9752, 2825.92, 2702.5
21, 25.222, 2702.5, 239.165, 9.30143, 2790.52, 2047.04
22, 24.1642, 2047.04, 223.885, 13.9463, 2776.2, 2461.18
23, 38.4255, 2461.18, 235.761, 9.61579, 2791.25, 3137.42
0, 23.4096, 3137.42, 222.723, 19.1005, 3640.98, 3640.98
1, 38.9176, 3640.98, 238.269, 17.725, 4085.77, 4530.56
2, 30.2009, 4530.56, 228.915, 7.99452, 3350.58, 1880.22
3, 33.1372, 1880.22, 238.48, 9.61295, 3165.96, 2612.08
4, 25.8827, 2612.08, 220.278, 5.94988, 2768.52, 1178.79
5, 24.4293, 1178.79, 229.256, 13.3303, 2730.59, 2540.92
6, 31.3323, 2540.92, 230.041, 17.6012, 3041.3, 4905.57
7, 34.1463, 4905.57, 230.806, 14.598, 3225.61, 4515.79
8, 37.5888, 4515.79, 221.821, 6.01814, 3065.39, 1783.58
